Name;DisplayName;Description
Porsche;Porsche;German sports car manufacturer
Audi;Audi;Premium brand of the Volkswagen Group
Mercedes-Benz;Mercedes-Benz;Luxury vehicle manufacturer
BMW;BMW;Bayerische Motoren Werke
Volkswagen;Volkswagen;Mass-market German car brand
Skoda;Škoda;Czech car manufacturer (Volkswagen Group)
SEAT;SEAT;Spanish car manufacturer (Volkswagen Group)
Cupra;Cupra;Performance brand (formerly SEAT performance)
Toyota;Toyota;Japanese automotive manufacturer
Lexus;Lexus;Toyota premium brand
Honda;Honda;Japanese automotive manufacturer
Nissan;Nissan;Japanese automotive manufacturer
Mazda;Mazda;Japanese automotive manufacturer
Subaru;Subaru;Japanese AWD-focused manufacturer
Mitsubishi;Mitsubishi;Japanese automotive manufacturer
Ford;Ford;American automotive manufacturer
Jeep;Jeep;SUV and off-road brand
Land Rover;Land Rover;British off-road brand
Volvo;Volvo;Swedish automotive manufacturer
Tesla;Tesla;Electric vehicle manufacturer
Alfa Romeo;Alfa Romeo;Italian performance brand
MINI;MINI;Small car brand (BMW Group)
Jaguar;Jaguar;British premium brand
